stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2412,2023-08-01,WAIT,0.1,0.0,0.5,0.0,116.5,115.62,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.4292,1.2876,0.4292,-0.8584,2.5751,-0.4292
2454,2023-08-01,WATCH,0.52,0.8,1.0,0.0,713.0,713.0,breakout confirmed with volume; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-1.683,-3.3661,-0.561,20.1964,27.77,-6.1711
2882,2023-08-01,WAIT,0.18,0.8,-0.7,0.0,47.25,47.25,breakout confirmed with volume; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),-1.6931,-4.5503,-2.4339,-6.9841,-6.455,-5.8201
2317,2023-08-02,AVOID,-0.1,0.0,-0.5,0.0,108.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),1.8519,-1.3889,-1.3889,-10.6481,-6.9444,-2.3148
2412,2023-08-02,WAIT,0.14,0.0,0.7,0.0,116.0,115.67,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.7241,0.431,0.0,0.0,3.4483,0.0
2454,2023-08-02,WAIT,0.2,0.0,1.0,0.0,709.0,682.35,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.2567,-4.9365,-0.5642,18.7588,32.0169,-5.6417
2882,2023-08-02,AVOID,-0.14,0.0,-0.7,0.0,46.2,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.8658,-1.9481,-1.2987,-4.9784,-4.329,-3.6797
2317,2023-08-04,AVOID,-0.14,0.0,-0.7,0.0,111.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.2523,-4.5045,-3.1532,-13.8739,-8.1081,-4.955
2330,2023-08-04,AVOID,-0.1,0.0,-0.5,0.0,554.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-1.444,-2.7076,-1.083,-4.6931,15.8845,-3.0686
2412,2023-08-04,WAIT,0.1,0.0,0.5,0.0,116.5,115.75,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.2876,0.8584,0.0,0.4292,3.0043,-0.4292
2454,2023-08-04,WAIT,0.2,0.0,1.0,0.0,706.0,683.15,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-3.8244,-4.5326,0.5666,19.83,33.5694,-5.2408
2882,2023-08-04,AVOID,-0.14,0.0,-0.7,0.0,46.3,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.324,-2.3758,0.6479,-4.3197,-4.2117,-3.8877
2330,2023-08-07,AVOID,-0.1,0.0,-0.5,0.0,558.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-3.0466,-3.7634,-0.1792,-1.9713,15.4122,-3.7634
2412,2023-08-07,AVOID,-0.1,0.0,-0.5,0.0,116.0,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.8621,0.8621,1.2931,1.7241,3.0172,0.0
2454,2023-08-07,WAIT,0.2,0.0,1.0,0.0,706.0,684.35,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-4.8159,-5.2408,0.7082,22.9462,32.5779,-5.2408
2412,2023-08-08,WAIT,0.1,0.0,0.5,0.0,116.5,115.95,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.4292,0.0,0.4292,0.8584,3.0043,-0.4292
2454,2023-08-08,WAIT,0.1,0.0,0.5,0.0,690.0,685.2,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-1.7391,-2.6087,4.058,26.087,35.942,-3.0435
2330,2023-08-09,AVOID,-0.1,0.0,-0.5,0.0,554.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-2.1661,-0.361,-0.722,-0.722,15.8845,-3.0686
2882,2023-08-09,WAIT,0.14,0.0,0.7,0.0,46.45,45.34,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),-2.9064,-3.7675,-1.3994,-2.3681,-5.4898,-4.1981
